Survey Name,3-2 Identification and Authentication,,,,,,,,,,,,
Asset Name,VistA Adaptive Maintenance (VAM) Assessing,,,,,,,,,,,,
Asset Type,System,,,,,,,,,,,,
Asset Subtype,Assessing,,,,,,,,,,,,
Asset Owner,Robert Disko,,,,,,,,,,,,
,,,,,,,,,,,,,
Due Date,2018-04-13,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 1: IA-02.1 Identification And Authentication (Organizational Users),,Provide Question Response,,,,,,,,,,,
The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"The RPC protocol is connection-oriented and synchronous with clients opening a connection to VistA and only making new RPC calls after receiving a reply from a previous call.Connection establishment and ending define a “client session” in the RPC engine and all RPC traffic on that connection is identified with that session.Clients log into VistA in different ways – there are Connection Proxies, CAPRI tokens, BSE tokens, Access Verify, SAML tokens. Each method is recognized by the Router and allows it to associate a client’s identity with the session. It is important to note that the Router doesn’t implement authentication – it merely notes how VistA responds to different sign on options and changes the client session appropriately.Session identity and details are passed into RPC Handlers along with a parsed version of an RPCAn RPC Handler may signal the Router engine to end a session The VAEC AWS GovCloud High requires all users to uniquely authenticate to the system prior to performing any actions. Users connect to the system using VA-issued two-factor authentication and service accounts also use unique IDs.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 2: IA-02.E01 Identification And Authentication (Organizational Users) | Network Access To Privileged Accounts,,Provide Question Response,,,,,,,,,,,
The information system implements multifactor authentication for network access to privileged accounts.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"This control is inherited from VA EO and managed by VA NSOC.  To obtain access to the VAEC AWS GovCloud High environment, users must be within the VA network. Remote users are required to VPN into the VA network to gain connectivity.  VAEC AWS GovCloud High utilizes PIV (certificate) and/or token-based authentication for multifactor authentication.   ",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 3: IA-02.E02 Identification And Authentication (Organizational Users) | Network Access To Non-Privileged Accounts,,Provide Question Response,,,,,,,,,,,
The information system implements multifactor authentication for network access to non-privileged accounts.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"This control is not applicable since the VAEC system has no ""non-privileged users"".",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 4: IA-02.E03 Identification And Authentication (Organizational Users) | Local Access To Privileged Accounts,,Provide Question Response,,,,,,,,,,,
The information system implements multifactor authentication for local access to privileged accounts.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 5: IA-02.E04 Identification And Authentication (Organizational Users) | Local Access To Non-Privileged Accounts,,Provide Question Response,,,,,,,,,,,
The information system implements multifactor authentication for local access to non-privileged accounts.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited from FedRAMP JAB authorized package ID F1603047866 for Amazon Web Services GovCloud High.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 6: IA-02.E08 Identification And Authentication (Organizational Users) | Network Access To Privileged Accounts - Replay Resistant,,Provide Question Response,,,,,,,,,,,
The information system implements replay-resistant authentication mechanisms for network access to privileged accounts.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"The VAEC AWS GovCloud High utilizes VA PIV cards for authentication, which utilizes replay-resistant technologies.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 7: IA-02.E09 Identification And Authentication (Organizational Users) | Network Access To Non-Privileged Accounts - Replay Resistant,,Provide Question Response,,,,,,,,,,,
The information system implements replay-resistant authentication mechanisms for network access to non-privileged accounts.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"The VAEC AWS GovCloud High only has privileged accounts accessing the environment. Therefore, this control enhancement is not applicable.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 8: IA-02.E11 Identification And Authentication (Organizational Users) | Remote Access - Separate Device,,Provide Question Response,,,,,,,,,,,
The information system implements multifactor authentication for remote access to privileged and non-privileged accounts such that one of the factors is provided by a device separate from the system gaining access and the device meets [Assignment: organization-defined strength of mechanism requirements].,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"This control is partially inherited from VA NSOC.VAM components will be managed within a single security boundary, within VAEC.VAM and its associated components (VICS Server, RPC Router, Router Manager, and Datastore) are all contained within a single security boundary within the VAEC using the AWS GovCloud High environment.To obtain access to the VAEC AWS GovCloud High environment, users must be within the VA network. Remote users are required to VPN into the VA network to gain connectivity. VPN is controlled and managed by the VA NSOC. VAEC AWS GovCloud High utilizes PIV (certificate) and/or token-based authentication for multifactor authentication.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 9: IA-02.E12 Identification And Authentication (Organizational Users) | Acceptance Of Piv Credentials,,Provide Question Response,,,,,,,,,,,
The information system accepts and electronically verifies Personal Identity Verification (PIV) credentials.,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,,,,,,VAM plans to accept and verify PIV credentials using a centralized server managed by VA AD. AD services are controlled and managed by the VA AD Team.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,X,,,,,,,,,,,
,,,,,,,,,,,,,
Question 10: IA-05.1 Authenticator Management,,Provide Question Response,,,,,,,,,,,
"The organization manages information system authenticators by:
a. Verifying, as part of the initial authenticator distribution, the identity of the individual, group, role, or device receiving the authenticator;
b. Establishing initial authenticator content for authenticators defined by the organization;
c. Ensuring that authenticators have sufficient strength of mechanism for their intended use;
d. Establishing and implementing administrative procedures for initial authenticator distribution, for lost/compromised or damaged authenticators, and for revoking authenticators;
e. Changing default content of authenticators prior to information system installation;
f. Establishing minimum and maximum lifetime restrictions and reuse conditions for authenticators;
g. Changing/refreshing authenticators [Assignment: organization-defined time period by authenticator type];
h. Protecting authenticator content from unauthorized disclosure and modification;
i. Requiring individuals to take, and having devices implement, specific security safeguards to protect authenticators; and
j. Changing authenticators for group/role accounts when membership to those accounts changes.",,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"a. To obtain access VAM users must be within the VA network. Remote users are required to VPN into the VA network to gain connectivity. VPN is controlled and managed by the VA NSOC. Users connect to the system using VA-issued PIV cards managed by the OI&T. The AD team manages the underlying Microsoft AD infrastructure.The OI&T verifies, as part of the initial authenticator distribution, the identity of the individual, group, role, or device receiving the authenticator.b. The OI&T establishes authenticator content for authenticators.c. The OI&T ensures that authenticators have sufficient strength of mechanism for their intended use. Two-factor authentication is used for FIPS 140-2 compliant algorithms. The following setting are in place for all systems: Enforce password history - 24 passwords remembered, Maximum password age 90 days, Minimum password age 1 days, Minimum password length 8 characters, Password must meet complexity requirements.d. The OI&T establishes and implements administrative procedures for initial authenticator distribution, for lost/compromised or damaged authenticators, and for revoking authenticators.e. The OI&T requires the changing of default content of authenticators prior to information system installation.f. The OI&T establishes minimum (1 day) and maximum (90 days) lifetime restrictions and reuse conditions (24-password history) for authenticators.G: The OI&T manages information system authenticators by changing/refreshing authenticators for single-factor authentication, user accounts will be changed every 90 days. For single-factor authentication, administrator accounts should be changed at a maximum of every 30 days and will be changed at a minimum of every 90 days. Service accounts will be changed at a minimum every 3 years.h. The OI&T protects authenticator content from unauthorized disclosure and modification.i. The OI&T requires individuals to take, and having devices implement, specific security safeguards to protect authenticators.j. The OI&T changes authenticators for group/role accounts when membership to those accounts changes.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 11: IA-05.E01 Authenticator Management | Password-Based Authentication,,Provide Question Response,,,,,,,,,,,
"The information system, for password-based authentication:
(a) Enforces minimum password complexity of [Assignment: organization-defined requirements for case sensitivity, number of characters, mix of upper-case letters, lower-case letters, numbers, and special characters, including minimum requirements for each type];
(b) Enforces at least the following number of changed characters when new passwords are created:
[Assignment: organization-defined number];
(c) Stores and transmits only cryptographically-protected passwords;
(d) Enforces password minimum and maximum lifetime restrictions of [Assignment: organization-defined numbers for lifetime minimum, lifetime maximum];
(e) Prohibits password reuse for [Assignment: organization-defined number] generations;
and (f) Allows the use of a temporary password for system logons with an immediate change to a permanent password.",,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"a. In accordance with VA Handbook 6500, the VAM users’ passwords must contain at least 8 non-blank characters. Those 8 characters must contain characters from 3 of the following categories: English upper case letters, English lower case letters, Base 10 digits, and non-alphanumeric special characters. Six of the characters must not occur more than once in the password. System administrator and service account passwords must contain at least 12 non-blank characters and use 3 of the 4 categories as outlined above.b. When a user wants to change their password, VAM, in accordance with VA Handbook 6500, forces a user to change 4 characters from the old password to the new password.c. VAM hashes all passwords using FIPS 140-2 compliant algorithms prior to storage and transmission.d. VAM utilizes GPOs to enforce minimum (1 day) and maximum (90 days) lifetime restrictions and reuse conditions (24-password history) for authenticators.e. In accordance with VA Handbook 6500, VAM prohibits the same password being used if it was used within the past 2 years. Additionally, the VAM prohibits the reuse of a password that has been used within the last 3 times the password has been changed - regardless of time frame.f. VAM allows the use of a one-time password that must be reset upon initial login.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 12: IA-05.E02 Authenticator Management | Pki-Based Authentication,,Provide Question Response,,,,,,,,,,,
"The information system, for PKI-based authentication:
(a) Validates certifications by constructing and verifying a certification path to an accepted trust anchor including checking certificate status information;
(b) Enforces authorized access to the corresponding private key;
(c) Maps the authenticated identity to the account of the individual or group;
and (d) Implements a local cache of revocation data to support path discovery and validation in case of inability to access revocation information via the network.",,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is inherited from VA EO. Two-factor authentication is configured and managed through OI&T.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 13: IA-05.E03 Authenticator Management | In-Person Or Trusted Third-Party Registration,,Provide Question Response,,,,,,,,,,,
The organization requires that the registration process to receive [Assignment: organization-defined types of and/or specific authenticators] be conducted [Selection: in person; by a trusted third party] before [Assignment: organization-defined registration authority] with authorization by [Assignment: organization-defined personnel or roles].,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"This control is inherited from VA EO. The OI&T requires that the registration process for issuance of VA identity credentials, and the verification and provisioning process for acceptance for use in VA systems of credentials issued by third parties, shall follow the procedures defined in NIST SP 800-63 for the level of assurance applicable to that credential or token.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 14: IA-05.E11 Authenticator Management | Hardware Token-Based Authentication,,Provide Question Response,,,,,,,,,,,
"The information system, for hardware token-based authentication, employs mechanisms that satisfy [Assignment: organization-defined token quality requirements].",,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,"OIT requires that the registration process for issuance of VA identity credentials, and the verification and provisioning process for acceptance for use in VA systems of credentials issued by third parties, shall follow the procedures defined in NIST SP 800-63 for the level of assurance applicable to that credential or token.For VAM Clients log into VistA in different ways – there are Connection Proxies, CAPRI tokens, BSE tokens, Access Verify, SAML tokens. Each method is recognized by the Router and allows it to associate a client’s identity with the session. It is important to note that the Router doesn’t implement authentication – it merely notes how VistA responds to different sign on options and changes the client session appropriately.",,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
Question 15: IA-08.1 Identification And Authentication (Non-Organizational Users),,Provide Question Response,,,,,,,,,,,
The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).,,Select One,Flag?,Comments,My New Comments,Implementation,Remediation Plan,,,,,,
In Place,,X,,,,,This control is not applicable due to the VAM system not granting acccess to non-organizational users.,,,,,,
Planned,,,,,,,,,,,,,
In Place and Planned,,,,,,,,,,,,,
,,,,,,,,,,,,,
